participants_id	Subject	Site
ATT_NAY00001	AY	ATT
ATT_NAY00002	AY	ATT
ATT_NAY00003	AY	ATT
ATT_NAY00004	AY	ATT
ATT_NAY00005	AY	ATT
ATT_NAY00006	AY	ATT
ATT_NAY00007	AY	ATT
ATT_NAY00008	AY	ATT
ATT_NAY00009	AY	ATT
ATT_NAY00010	AY	ATT
ATT_NAY00011	AY	ATT
ATT_NAY00012	AY	ATT
ATT_NAY00013	AY	ATT
ATT_NAY00014	AY	ATT
ATT_NAY00015	AY	ATT
ATT_NKS00001	KS	ATT
ATT_NKS00002	KS	ATT
ATT_NKS00003	KS	ATT
ATT_NKS00004	KS	ATT
ATT_NKS00005	KS	ATT
ATT_NKS00006	KS	ATT
ATT_NKS00007	KS	ATT
ATT_NKS00008	KS	ATT
ATT_NKS00009	KS	ATT
ATT_NKS00010	KS	ATT
ATT_NKS00011	KS	ATT
ATT_NKS00012	KS	ATT
ATT_NKS00013	KS	ATT
ATT_NKS00014	KS	ATT
ATT_NKS00015	KS	ATT
ATT_NMH00001	MH	ATT
ATT_NMH00002	MH	ATT
ATT_NMH00003	MH	ATT
ATT_NMH00004	MH	ATT
ATT_NMH00005	MH	ATT
ATT_NMH00006	MH	ATT
ATT_NMH00007	MH	ATT
ATT_NMH00008	MH	ATT
ATT_NMH00009	MH	ATT
ATT_NMH00010	MH	ATT
ATT_NMH00011	MH	ATT
ATT_NMH00012	MH	ATT
ATT_NMH00013	MH	ATT
ATT_NMH00014	MH	ATT
ATT_NMH00015	MH	ATT
ATT_NMY00001	MY	ATT
ATT_NMY00002	MY	ATT
ATT_NMY00003	MY	ATT
ATT_NMY00004	MY	ATT
ATT_NMY00005	MY	ATT
ATT_NMY00006	MY	ATT
ATT_NMY00007	MY	ATT
ATT_NMY00008	MY	ATT
ATT_NMY00009	MY	ATT
ATT_NMY00010	MY	ATT
ATT_NMY00011	MY	ATT
ATT_NMY00012	MY	ATT
ATT_NMY00013	MY	ATT
ATT_NMY00014	MY	ATT
ATT_NMY00015	MY	ATT
ATT_NRO00001	RO	ATT
ATT_NRO00002	RO	ATT
ATT_NRO00003	RO	ATT
ATT_NRO00004	RO	ATT
ATT_NRO00005	RO	ATT
ATT_NRO00006	RO	ATT
ATT_NRO00007	RO	ATT
ATT_NRO00008	RO	ATT
ATT_NRO00009	RO	ATT
ATT_NRO00010	RO	ATT
ATT_NRO00011	RO	ATT
ATT_NRO00012	RO	ATT
ATT_NRO00013	RO	ATT
ATT_NRO00014	RO	ATT
ATT_NRO00015	RO	ATT
ATT_NSC00001	SC	ATT
ATT_NSC00002	SC	ATT
ATT_NSC00003	SC	ATT
ATT_NSC00004	SC	ATT
ATT_NSC00005	SC	ATT
ATT_NSC00006	SC	ATT
ATT_NSC00007	SC	ATT
ATT_NSC00008	SC	ATT
ATT_NSC00009	SC	ATT
ATT_NSC00010	SC	ATT
ATT_NSC00011	SC	ATT
ATT_NSC00012	SC	ATT
ATT_NSC00013	SC	ATT
ATT_NSC00014	SC	ATT
ATT_NSC00015	SC	ATT
ATT_NST00001	ST	ATT
ATT_NST00002	ST	ATT
ATT_NST00003	ST	ATT
ATT_NST00004	ST	ATT
ATT_NST00005	ST	ATT
ATT_NST00006	ST	ATT
ATT_NST00007	ST	ATT
ATT_NST00008	ST	ATT
ATT_NST00009	ST	ATT
ATT_NST00010	ST	ATT
ATT_NST00011	ST	ATT
ATT_NST00012	ST	ATT
ATT_NST00013	ST	ATT
ATT_NST00014	ST	ATT
ATT_NST00015	ST	ATT
ATT_NYO00001	YO	ATT
ATT_NYO00002	YO	ATT
ATT_NYO00003	YO	ATT
ATT_NYO00004	YO	ATT
ATT_NYO00005	YO	ATT
ATT_NYO00006	YO	ATT
ATT_NYO00010	YO	ATT
ATT_NYO00011	YO	ATT
ATT_NYO00012	YO	ATT
ATT_NYO00013	YO	ATT
ATT_NYO00014	YO	ATT
ATT_NYO00015	YO	ATT
ATT_NYT00001	YT	ATT
ATT_NYT00002	YT	ATT
ATT_NYT00003	YT	ATT
ATT_NYT00004	YT	ATT
ATT_NYT00005	YT	ATT
ATT_NYT00006	YT	ATT
ATT_NYT00007	YT	ATT
ATT_NYT00008	YT	ATT
ATT_NYT00009	YT	ATT
ATT_NYT00010	YT	ATT
ATT_NYT00011	YT	ATT
ATT_NYT00012	YT	ATT
ATT_NYT00013	YT	ATT
ATT_NYT00014	YT	ATT
ATT_NYT00015	YT	ATT
ATV_NAY00001	AY	ATV
ATV_NAY00002	AY	ATV
ATV_NAY00003	AY	ATV
ATV_NKS00001	KS	ATV
ATV_NKS00002	KS	ATV
ATV_NKS00003	KS	ATV
ATV_NMH00001	MH	ATV
ATV_NMH00002	MH	ATV
ATV_NMH00003	MH	ATV
ATV_NMY00001	MY	ATV
ATV_NMY00002	MY	ATV
ATV_NMY00003	MY	ATV
ATV_NRO00001	RO	ATV
ATV_NRO00002	RO	ATV
ATV_NRO00003	RO	ATV
ATV_NSC00001	SC	ATV
ATV_NSC00002	SC	ATV
ATV_NSC00003	SC	ATV
ATV_NST00001	ST	ATV
ATV_NST00002	ST	ATV
ATV_NST00003	ST	ATV
ATV_NYO00001	YO	ATV
ATV_NYO00002	YO	ATV
ATV_NYO00003	YO	ATV
ATV_NYT00001	YT	ATV
ATV_NYT00002	YT	ATV
ATV_NYT00003	YT	ATV
COI_NAY00001	AY	COI
COI_NAY00002	AY	COI
COI_NAY00003	AY	COI
COI_NKS00001	KS	COI
COI_NKS00002	KS	COI
COI_NKS00003	KS	COI
COI_NMH00001	MH	COI
COI_NMH00002	MH	COI
COI_NMH00003	MH	COI
COI_NMY00001	MY	COI
COI_NMY00002	MY	COI
COI_NMY00003	MY	COI
COI_NRO00001	RO	COI
COI_NRO00002	RO	COI
COI_NRO00003	RO	COI
COI_NSC00001	SC	COI
COI_NSC00002	SC	COI
COI_NSC00003	SC	COI
COI_NST00001	ST	COI
COI_NST00002	ST	COI
COI_NST00003	ST	COI
COI_NYO00001	YO	COI
COI_NYO00002	YO	COI
COI_NYO00003	YO	COI
COI_NYT00001	YT	COI
COI_NYT00002	YT	COI
COI_NYT00003	YT	COI
HKH_NAY00001	AY	HKH
HKH_NAY00002	AY	HKH
HKH_NKS00001	KS	HKH
HKH_NKS00002	KS	HKH
HKH_NMH00001	MH	HKH
HKH_NMH00002	MH	HKH
HKH_NMY00001	MY	HKH
HKH_NMY00002	MY	HKH
HKH_NRO00001	RO	HKH
HKH_NRO00002	RO	HKH
HKH_NSC00001	SC	HKH
HKH_NSC00002	SC	HKH
HKH_NST00001	ST	HKH
HKH_NST00002	ST	HKH
HKH_NYO00001	YO	HKH
HKH_NYO00002	YO	HKH
HKH_NYT00001	YT	HKH
HKH_NYT00002	YT	HKH
HUH_NAY00001	AY	HUH
HUH_NAY00002	AY	HUH
HUH_NKS00001	KS	HUH
HUH_NKS00002	KS	HUH
HUH_NMH00001	MH	HUH
HUH_NMH00002	MH	HUH
HUH_NMY00001	MY	HUH
HUH_NMY00002	MY	HUH
HUH_NRO00001	RO	HUH
HUH_NRO00002	RO	HUH
HUH_NSC00001	SC	HUH
HUH_NSC00002	SC	HUH
HUH_NST00001	ST	HUH
HUH_NST00002	ST	HUH
HUH_NYO00001	YO	HUH
HUH_NYO00002	YO	HUH
HUH_NYT00001	YT	HUH
HUH_NYT00002	YT	HUH
KFU_NAY00001	AY	KFU
KFU_NAY00002	AY	KFU
KFU_NAY00003	AY	KFU
KFU_NKS00001	KS	KFU
KFU_NKS00002	KS	KFU
KFU_NKS00003	KS	KFU
KFU_NMH00001	MH	KFU
KFU_NMH00002	MH	KFU
KFU_NMH00003	MH	KFU
KFU_NMY00001	MY	KFU
KFU_NMY00002	MY	KFU
KFU_NMY00003	MY	KFU
KFU_NRO00001	RO	KFU
KFU_NRO00002	RO	KFU
KFU_NRO00003	RO	KFU
KFU_NSC00001	SC	KFU
KFU_NSC00002	SC	KFU
KFU_NSC00003	SC	KFU
KFU_NST00001	ST	KFU
KFU_NST00002	ST	KFU
KFU_NST00003	ST	KFU
KFU_NYO00001	YO	KFU
KFU_NYO00002	YO	KFU
KFU_NYO00003	YO	KFU
KFU_NYT00001	YT	KFU
KFU_NYT00002	YT	KFU
KFU_NYT00003	YT	KFU
KUS_NAY00001	AY	KUS
KUS_NAY00002	AY	KUS
KUS_NAY00003	AY	KUS
KUS_NKS00001	KS	KUS
KUS_NKS00002	KS	KUS
KUS_NKS00003	KS	KUS
KUS_NMH00001	MH	KUS
KUS_NMH00002	MH	KUS
KUS_NMH00003	MH	KUS
KUS_NMY00001	MY	KUS
KUS_NMY00002	MY	KUS
KUS_NMY00003	MY	KUS
KUS_NRO00001	RO	KUS
KUS_NRO00002	RO	KUS
KUS_NRO00003	RO	KUS
KUS_NSC00001	SC	KUS
KUS_NSC00002	SC	KUS
KUS_NSC00003	SC	KUS
KUS_NST00001	ST	KUS
KUS_NST00002	ST	KUS
KUS_NST00003	ST	KUS
KUS_NYO00001	YO	KUS
KUS_NYO00002	YO	KUS
KUS_NYO00003	YO	KUS
KUS_NYT00001	YT	KUS
KUS_NYT00002	YT	KUS
KUS_NYT00003	YT	KUS
KUT_NAY00001	AY	KUT
KUT_NAY00002	AY	KUT
KUT_NAY00003	AY	KUT
KUT_NKS00001	KS	KUT
KUT_NKS00002	KS	KUT
KUT_NKS00003	KS	KUT
KUT_NMH00001	MH	KUT
KUT_NMH00002	MH	KUT
KUT_NMH00003	MH	KUT
KUT_NMY00001	MY	KUT
KUT_NMY00002	MY	KUT
KUT_NMY00003	MY	KUT
KUT_NRO00001	RO	KUT
KUT_NRO00002	RO	KUT
KUT_NRO00003	RO	KUT
KUT_NSC00001	SC	KUT
KUT_NSC00002	SC	KUT
KUT_NSC00003	SC	KUT
KUT_NST00001	ST	KUT
KUT_NST00002	ST	KUT
KUT_NST00003	ST	KUT
KUT_NYO00001	YO	KUT
KUT_NYO00002	YO	KUT
KUT_NYO00003	YO	KUT
KUT_NYT00001	YT	KUT
KUT_NYT00002	YT	KUT
KUT_NYT00003	YT	KUT
SWA_NAY00001	AY	SWA
SWA_NAY00002	AY	SWA
SWA_NAY00003	AY	SWA
SWA_NKS00001	KS	SWA
SWA_NKS00002	KS	SWA
SWA_NKS00003	KS	SWA
SWA_NMH00001	MH	SWA
SWA_NMH00002	MH	SWA
SWA_NMH00003	MH	SWA
SWA_NMY00001	MY	SWA
SWA_NMY00002	MY	SWA
SWA_NMY00003	MY	SWA
SWA_NRO00001	RO	SWA
SWA_NRO00002	RO	SWA
SWA_NRO00003	RO	SWA
SWA_NSC00001	SC	SWA
SWA_NSC00002	SC	SWA
SWA_NSC00003	SC	SWA
SWA_NST00001	ST	SWA
SWA_NST00002	ST	SWA
SWA_NST00003	ST	SWA
SWA_NYO00001	YO	SWA
SWA_NYO00002	YO	SWA
SWA_NYO00003	YO	SWA
SWA_NYT00001	YT	SWA
SWA_NYT00002	YT	SWA
SWA_NYT00003	YT	SWA
UTA_NAY00001	AY	UTA
UTA_NAY00002	AY	UTA
UTA_NAY00003	AY	UTA
UTA_NKS00001	KS	UTA
UTA_NKS00002	KS	UTA
UTA_NKS00003	KS	UTA
UTA_NMH00001	MH	UTA
UTA_NMH00002	MH	UTA
UTA_NMH00003	MH	UTA
UTA_NMY00001	MY	UTA
UTA_NMY00002	MY	UTA
UTA_NMY00003	MY	UTA
UTA_NRO00001	RO	UTA
UTA_NRO00002	RO	UTA
UTA_NRO00003	RO	UTA
UTA_NSC00001	SC	UTA
UTA_NSC00002	SC	UTA
UTA_NSC00003	SC	UTA
UTA_NST00001	ST	UTA
UTA_NST00002	ST	UTA
UTA_NST00003	ST	UTA
UTA_NYO00001	YO	UTA
UTA_NYO00002	YO	UTA
UTA_NYO00003	YO	UTA
UTA_NYT00001	YT	UTA
UTA_NYT00002	YT	UTA
UTA_NYT00003	YT	UTA
YC1_NAY00001	AY	YC1
YC1_NAY00002	AY	YC1
YC1_NAY00003	AY	YC1
YC1_NKS00001	KS	YC1
YC1_NKS00002	KS	YC1
YC1_NKS00003	KS	YC1
YC1_NMH00001	MH	YC1
YC1_NMH00002	MH	YC1
YC1_NMH00003	MH	YC1
YC1_NMY00001	MY	YC1
YC1_NMY00002	MY	YC1
YC1_NMY00003	MY	YC1
YC1_NRO00001	RO	YC1
YC1_NRO00002	RO	YC1
YC1_NRO00003	RO	YC1
YC1_NSC00001	SC	YC1
YC1_NSC00002	SC	YC1
YC1_NSC00003	SC	YC1
YC1_NST00001	ST	YC1
YC1_NST00002	ST	YC1
YC1_NST00003	ST	YC1
YC1_NYO00001	YO	YC1
YC1_NYO00002	YO	YC1
YC1_NYO00003	YO	YC1
YC1_NYT00001	YT	YC1
YC1_NYT00002	YT	YC1
YC1_NYT00003	YT	YC1
YC2_NAY00001	AY	YC2
YC2_NAY00002	AY	YC2
YC2_NAY00003	AY	YC2
YC2_NKS00001	KS	YC2
YC2_NKS00002	KS	YC2
YC2_NKS00003	KS	YC2
YC2_NMH00001	MH	YC2
YC2_NMH00002	MH	YC2
YC2_NMH00003	MH	YC2
YC2_NMY00001	MY	YC2
YC2_NMY00002	MY	YC2
YC2_NMY00003	MY	YC2
YC2_NRO00001	RO	YC2
YC2_NRO00002	RO	YC2
YC2_NRO00003	RO	YC2
YC2_NSC00001	SC	YC2
YC2_NSC00002	SC	YC2
YC2_NSC00003	SC	YC2
YC2_NST00001	ST	YC2
YC2_NST00002	ST	YC2
YC2_NST00003	ST	YC2
YC2_NYO00001	YO	YC2
YC2_NYO00002	YO	YC2
YC2_NYO00003	YO	YC2
YC2_NYT00001	YT	YC2
YC2_NYT00002	YT	YC2
YC2_NYT00003	YT	YC2